iter	Passed	Remaining
776	1512	434
777	1513	431
778	1514	429
779	1515	427
780	1516	425
781	1517	422
782	1517	420
783	1518	418
784	1519	416
785	1520	413
786	1521	411
787	1522	409
788	1523	407
789	1523	405
790	1524	402
791	1525	400
792	1526	398
793	1527	396
794	1528	394
795	1529	391
796	1529	389
797	1530	387
798	1531	385
799	1532	383
800	1533	380
801	1533	378
802	1534	376
803	1535	374
804	1536	372
805	1537	370
806	1538	367
807	1539	365
808	1539	363
809	1540	361
810	1541	359
811	1542	357
812	1543	354
813	1544	352
814	1544	350
815	1545	348
816	1546	346
817	1547	344
818	1548	342
819	1549	340
820	1550	337
821	1550	335
822	1551	333
823	1552	331
824	1553	329
825	1554	327
826	1555	325
827	1556	323
828	1557	321
829	1557	319
830	1558	316
831	1559	314
832	1560	312
833	1561	310
834	1562	308
835	1562	306
836	1563	304
837	1564	302
838	1565	300
839	1566	298
840	1567	296
841	1567	294
842	1568	292
843	1569	290
844	1570	288
845	1571	286
846	1572	283
847	1572	281
848	1573	279
849	1574	277
850	1575	275
851	1576	273
852	1577	271
853	1577	269
854	1578	267
855	1579	265
856	1580	263
857	1581	261
858	1582	259
859	1582	257
860	1583	255
861	1584	253
862	1585	251
863	1586	249
864	1587	247
865	1587	245
866	1588	243
867	1589	241
868	1590	239
869	1591	237
870	1592	235
871	1593	233
872	1593	231
873	1594	229
874	1595	227
875	1596	225
876	1597	223
877	1597	222
878	1598	220
879	1599	218
880	1600	216
881	1601	214
882	1602	212
883	1603	210
884	1603	208
885	1604	206
886	1605	204
887	1606	202
888	1607	200
889	1608	198
890	1609	196
891	1610	194
892	1610	193
893	1611	191
894	1612	189
895	1613	187
896	1614	185
897	1615	183
898	1615	181
899	1616	179
900	1617	177
901	1618	175
902	1619	173
903	1619	172
904	1620	170
905	1621	168
906	1622	166
907	1623	164
908	1624	162
909	1625	160
910	1625	158
911	1626	156
912	1627	155
913	1628	153
914	1629	151
915	1630	149
916	1630	147
917	1631	145
918	1632	143
919	1633	142
920	1634	140
921	1635	138
922	1635	136
923	1636	134
924	1637	132
925	1638	130
926	1639	129
927	1640	127
928	1640	125
929	1641	123
930	1642	121
931	1643	119
932	1644	118
933	1645	116
934	1646	114
935	1646	112
936	1647	110
937	1648	108
938	1649	107
939	1650	105
940	1651	103
941	1651	101
942	1652	99
943	1653	98
944	1654	96
945	1655	94
946	1656	92
947	1656	90
948	1657	89
949	1658	87
950	1659	85
951	1660	83
952	1660	81
953	1661	80
954	1662	78
955	1663	76
956	1664	74
957	1665	73
958	1666	71
959	1666	69
960	1667	67
961	1668	65
962	1669	64
963	1670	62
964	1671	60
965	1672	58
966	1672	57
967	1673	55
968	1674	53
969	1675	51
970	1676	50
971	1677	48
972	1677	46
973	1678	44
974	1679	43
975	1680	41
976	1681	39
977	1682	37
978	1682	36
979	1683	34
980	1684	32
981	1685	30
982	1686	29
983	1687	27
984	1688	25
985	1689	23
986	1689	22
987	1690	20
988	1691	18
989	1692	17
990	1693	15
991	1693	13
992	1694	11
993	1695	10
994	1696	8
995	1697	6
996	1698	5
997	1699	3
998	1700	1
999	1700	0
